2670 20011001 010647 000000 FORT COLLINS-LOVELAND, CO
2670 20021001 010045 000000 FORT COLLINS-LOVELAND, CO
2670 20031001 010066 000000 FORT COLLINS-LOVELAND, CO
2670 20050101 010218 000000 FORT COLLINS-LOVELAND, CO
2680 20001001 010173 000000 FORT LAUDERDALE, FL
2680 20011001 010121 000000 FORT LAUDERDALE, FL
2680 20021001 010293 000000 FORT LAUDERDALE, FL
2680 20031001 010297 000000 FORT LAUDERDALE, FL
2680 20050101 010165 000000 FORT LAUDERDALE, FL
2700 20001001 008951 000000 FORT MYERS-CAPE CORAL, FL
2700 20011001 009247 000000 FORT MYERS-CAPE CORAL, FL
2700 20021001 009374 000000 FORT MYERS-CAPE CORAL, FL
2700 20031001 009680 000000 FORT MYERS-CAPE CORAL, FL
2700 20050101 009371 000000 FORT MYERS-CAPE CORAL, FL
2710 20001001 009999 000000 FORT PIERCE-PORT ST. LUCIE, FL
2710 20011001 009538 000000 FORT PIERCE-PORT ST. LUCIE, FL
2710 20021001 010214 000000 FORT PIERCE-PORT ST. LUCIE, FL
2710 20031001 009823 000000 FORT PIERCE-PORT ST. LUCIE, FL
2710 20050101 010046 000000 FORT PIERCE-PORT ST. LUCIE, FL
2720 20001001 007844 000000 FORT SMITH, AR-OK
2720 20011001 008052 000000 FORT SMITH, AR-OK
2720 20021001 008053 000000 FORT SMITH, AR-OK
2720 20031001 007895 000000 FORT SMITH, AR-OK
2720 20050101 008303 000000 FORT SMITH, AR-OK
2750 20001001 008714 000000 FORT WALTON BEACH, FL
2750 20011001 009607 000000 FORT WALTON BEACH, FL
2750 20021001 009002 000000 FORT WALTON BEACH, FL
2750 20031001 009693 000000 FORT WALTON BEACH, FL
2750 20050101 008786 000000 FORT WALTON BEACH, FL
2760 20001001 009097 000000 FORT WAYNE, IN
2760 20011001 008665 000000 FORT WAYNE, IN
2760 20021001 009203 000000 FORT WAYNE, IN
2760 20031001 009457 000000 FORT WAYNE, IN
2760 20050101 009737 000000 FORT WAYNE, IN
2800 20001001 009836 000000 FORT WORTH-ARLINGTON, TX
2800 20011001 009527 000000 FORT WORTH-ARLINGTON, TX
2800 20021001 009394 000000 FORT WORTH-ARLINGTON, TX
2800 20031001 009446 000000 FORT WORTH-ARLINGTON, TX
2800 20050101 009520 000000 FORT WORTH-ARLINGTON, TX
2840 20001001 010263 000000 FRESNO, CA
2840 20011001 010104 000000 FRESNO, CA
2840 20021001 009984 000000 FRESNO, CA
2840 20031001 010216 000000 FRESNO, CA
2840 20050101 010407 000000 FRESNO, CA
2880 20001001 008689 000000 GADSDEN, AL
2880 20011001 008423 000000 GADSDEN, AL
2880 20021001 008792 000000 GADSDEN, AL
2880 20031001 008505 000000 GADSDEN, AL
2880 20050101 008049 000000 GADSDEN, AL
2900 20001001 010103 000000 GAINESVILLE, FL
2900 20011001 010074 000000 GAINESVILLE, FL
2900 20021001 009481 000000 GAINESVILLE, FL
2900 20031001 009871 000000 GAINESVILLE, FL
2900 20050101 009459 000000 GAINESVILLE, FL
2920 20001001 009733 000000 GALVESTON-TEXAS CITY, TX
2920 20011001 009918 000000 GALVESTON-TEXAS CITY, TX
2920 20021001 010313 000000 GALVESTON-TEXAS CITY, TX
2920 20031001 009465 000000 GALVESTON-TEXAS CITY, TX
2920 20050101 009403 000000 GALVESTON-TEXAS CITY, TX
2960 20001001 009391 000000 GARY, IN
2960 20011001 009454 000000 GARY, IN
2960 20021001 009530 000000 GARY, IN
2960 20031001 009584 000000 GARY, IN
2960 20050101 009342 000000 GARY, IN
2975 20001001 008607 000000 GLENS FALLS, NY
2975 20011001 008361 000000 GLENS FALLS, NY
2975 20021001 008336 000000 GLENS FALLS, NY
2975 20031001 008281 000000 GLENS FALLS, NY
2975 20050101 008467 000000 GLENS FALLS, NY
2980 20001001 008334 000000 GOLDSBORO, NC
2980 20011001 008423 000000 GOLDSBORO, NC
2980 20021001 008709 000000 GOLDSBORO, NC
2980 20031001 008892 000000 GOLDSBORO, NC
2980 20050101 008778 000000 GOLDSBORO, NC
2985 20001001 009098 000000 GRAND FORKS, ND-MN
2985 20011001 008816 000000 GRAND FORKS, ND-MN
2985 20021001 009069 000000 GRAND FORKS, ND-MN
2985 20031001 008897 000000 GRAND FORKS, ND-MN
2985 20050101 009091 000000 GRAND FORKS, ND-MN
2995 20001001 009189 000000 GRAND JUNCTION, CO
2995 20011001 009109 000000 GRAND JUNCTION, CO
2995 20021001 009569 000000 GRAND JUNCTION, CO
2995 20031001 009456 000000 GRAND JUNCTION, CO
2995 20050101 009900 000000 GRAND JUNCTION, CO
3000 20001001 010136 000000 GRAND RAPIDS-MUSKEGON-HOLLAND, MI
3000 20011001 010248 000000 GRAND RAPIDS-MUSKEGON-HOLLAND, MI
3000 20021001 010048 000000 GRAND RAPIDS-MUSKEGON-HOLLAND, MI
3000 20031001 009525 000000 GRAND RAPIDS-MUSKEGON-HOLLAND, MI
3000 20050101 009519 000000 GRAND RAPIDS-MUSKEGON-HOLLAND, MI
3040 20001001 010460 000000 GREAT FALLS, MT
3040 20011001 009065 000000 GREAT FALLS, MT
3040 20021001 008870 000000 GREAT FALLS, MT
3040 20031001 008950 000000 GREAT FALLS, MT
3040 20050101 008810 000000 GREAT FALLS, MT
3060 20001001 009723 000000 GREELEY, CO
3060 20011001 009814 000000 GREELEY, CO
3060 20021001 009495 000000 GREELEY, CO
3060 20031001 009237 000000 GREELEY, CO
3060 20050101 009444 000000 GREELEY, CO
3080 20001001 009133 000000 GREEN BAY, WI
3080 20011001 009225 000000 GREEN BAY, WI
3080 20021001 009208 000000 GREEN BAY, WI
3080 20031001 009502 000000 GREEN BAY, WI
3080 20050101 009586 000000 GREEN BAY, WI
3120 20001001 009038 000000 GREENSBORO--WINSTON-SALEM--HIGH POINT, NC
3120 20011001 009131 000000 GREENSBORO--WINSTON-SALEM--HIGH POINT, NC
3120 20021001 009539 000000 GREENSBORO--WINSTON-SALEM--HIGH POINT, NC
3120 20031001 009282 000000 GREENSBORO--WINSTON-SALEM--HIGH POINT, NC
3120 20050101 009312 000000 GREENSBORO--WINSTON-SALEM--HIGH POINT, NC
3150 20001001 009501 000000 GREENVILLE, NC
3150 20011001 009384 000000 GREENVILLE, NC
3150 20021001 009289 000000 GREENVILLE, NC
3150 20031001 009100 000000 GREENVILLE, NC
3150 20050101 009183 000000 GREENVILLE, NC
3160 20001001 009189 000000 GREENVILLE-SPARTANBURG-ANDERSON, SC
3160 20011001 009003 000000 GREENVILLE-SPARTANBURG-ANDERSON, SC
3160 20021001 009217 000000 GREENVILLE-SPARTANBURG-ANDERSON, SC
3160 20031001 009122 000000 GREENVILLE-SPARTANBURG-ANDERSON, SC
3160 20050101 009400 000000 GREENVILLE-SPARTANBURG-ANDERSON, SC
3180 20001001 008843 000000 HAGERSTOWN, MD
3180 20011001 009409 000000 HAGERSTOWN, MD
3180 20021001 008365 000000 HAGERSTOWN, MD
3180 20031001 009268 000000 HAGERSTOWN, MD
3180 20050101 009940 000000 HAGERSTOWN, MD
3200 20001001 008947 000000 HAMILTON-MIDDLETOWN, OH
3200 20011001 009061 000000 HAMILTON-MIDDLETOWN, OH
3200 20021001 009287 000000 HAMILTON-MIDDLETOWN, OH
3200 20031001 009418 000000 HAMILTON-MIDDLETOWN, OH
3200 20050101 009066 000000 HAMILTON-MIDDLETOWN, OH
3240 20001001 009918 000000 HARRISBURG-LEBANON-CARLISLE, PA
3240 20011001 009386 000000 HARRISBURG-LEBANON-CARLISLE, PA
3240 20021001 009425 000000 HARRISBURG-LEBANON-CARLISLE, PA
3240 20031001 009223 000000 HARRISBURG-LEBANON-CARLISLE, PA
3240 20050101 009286 000000 HARRISBURG-LEBANON-CARLISLE, PA
3283 20001001 011716 000000 HARTFORD, CT
3283 20011001 011373 000000 HARTFORD, CT
3283 20021001 011533 000000 HARTFORD, CT
3283 20031001 011549 000000 HARTFORD, CT
3283 20050101 011054 000000 HARTFORD, CT
3285 20001001 007634 000000 HATTIESBURG, MS
3285 20011001 007490 000000 HATTIESBURG, MS
3285 20021001 007476 000000 HATTIESBURG, MS
3285 20031001 007659 000000 HATTIESBURG, MS
3285 20050101 007362 000000 HATTIESBURG, MS
3290 20001001 009113 000000 HICKORY-MORGANTON-LENOIR, NC
3290 20011001 009008 000000 HICKORY-MORGANTON-LENOIR, NC
3290 20021001 009367 000000 HICKORY-MORGANTON-LENOIR, NC
3290 20031001 009028 000000 HICKORY-MORGANTON-LENOIR, NC
3290 20050101 009502 000000 HICKORY-MORGANTON-LENOIR, NC
3320 20001001 011477 000000 HONOLULU, HI
3320 20011001 011863 000000 HONOLULU, HI
3320 20021001 011539 000000 HONOLULU, HI
3320 20031001 011457 000000 HONOLULU, HI
3320 20050101 011013 000000 HONOLULU, HI
3350 20001001 007837 000000 HOUMA, LA
3350 20011001 008086 000000 HOUMA, LA
3350 20021001 007975 000000 HOUMA, LA
3350 20031001 008385 000000 HOUMA, LA
3350 20050101 007721 000000 HOUMA, LA
3360 20001001 009388 000000 HOUSTON, TX
3360 20011001 009732 000000 HOUSTON, TX
3360 20021001 009631 000000 HOUSTON, TX
3360 20031001 009892 000000 HOUSTON, TX
3360 20050101 010117 000000 HOUSTON, TX
3400 20001001 009758 000000 HUNTINGTON-ASHLAND, WV-KY-OH
3400 20011001 009876 000000 HUNTINGTON-ASHLAND, WV-KY-OH
3400 20021001 009616 000000 HUNTINGTON-ASHLAND, WV-KY-OH
3400 20031001 009636 000000 HUNTINGTON-ASHLAND, WV-KY-OH
3400 20050101 009564 000000 HUNTINGTON-ASHLAND, WV-KY-OH
3440 20001001 008823 000000 HUNTSVILLE, AL
3440 20011001 008932 000000 HUNTSVILLE, AL
3440 20021001 008883 000000 HUNTSVILLE, AL
3440 20031001 008903 000000 HUNTSVILLE, AL
3440 20050101 008851 000000 HUNTSVILLE, AL
3480 20001001 009793 000000 INDIANAPOLIS, IN
3480 20011001 009787 000000 INDIANAPOLIS, IN
3480 20021001 009698 000000 INDIANAPOLIS, IN
3480 20031001 009717 000000 INDIANAPOLIS, IN
3480 20050101 010039 000000 INDIANAPOLIS, IN
3500 20001001 009608 000000 IOWA CITY, IA
3500 20011001 009657 000000 IOWA CITY, IA
3500 20021001 009859 000000 IOWA CITY, IA
3500 20031001 009587 000000 IOWA CITY, IA
3500 20050101 009654 000000 IOWA CITY, IA
3520 20001001 008841 000000 JACKSON, MI
3520 20011001 009134 000000 JACKSON, MI
3520 20021001 009257 000000 JACKSON, MI
3520 20031001 009532 000000 JACKSON, MI
3520 20050101 009146 000000 JACKSON, MI
3560 20001001 008387 000000 JACKSON, MS
3560 20011001 008812 000000 JACKSON, MS
3560 20021001 008491 000000 JACKSON, MS
3560 20031001 008607 000000 JACKSON, MS
3560 20050101 008406 000000 JACKSON, MS
3580 20001001 008601 000000 JACKSON, TN
3580 20011001 008796 000000 JACKSON, TN
3580 20021001 009013 000000 JACKSON, TN
3580 20031001 009275 000000 JACKSON, TN
3580 20050101 008900 000000 JACKSON, TN
3600 20001001 008958 000000 JACKSONVILLE, FL
3600 20011001 009208 000000 JACKSONVILLE, FL
3600 20021001 009223 000000 JACKSONVILLE, FL
3600 20031001 009381 000000 JACKSONVILLE, FL
3600 20050101 009548 000000 JACKSONVILLE, FL
3605 20001001 007853 000000 JACKSONVILLE, NC
3605 20011001 007777 000000 JACKSONVILLE, NC
3605 20021001 007622 000000 JACKSONVILLE, NC
3605 20031001 008239 000000 JACKSONVILLE, NC
3605 20050101 008401 000000 JACKSONVILLE, NC
3610 20001001 007858 000000 JAMESTOWN, NY
3610 20011001 007818 000000 JAMESTOWN, NY
3610 20021001 008050 000000 JAMESTOWN, NY
3610 20031001 007976 000000 JAMESTOWN, NY
3610 20050101 007589 000000 JAMESTOWN, NY
3620 20001001 009657 000000 JANESVILLE-BELOIT, WI
3620 20011001 009585 000000 JANESVILLE-BELOIT, WI
3620 20021001 009739 000000 JANESVILLE-BELOIT, WI
3620 20031001 009849 000000 JANESVILLE-BELOIT, WI
3620 20050101 009583 000000 JANESVILLE-BELOIT, WI
3640 20001001 011676 000000 JERSEY CITY, NJ
3640 20011001 011502 000000 JERSEY CITY, NJ
3640 20021001 011178 000000 JERSEY CITY, NJ
3640 20031001 011190 000000 JERSEY CITY, NJ
3640 20050101 010923 000000 JERSEY CITY, NJ
3660 20001001 008854 000000 JOHNSON CITY-KINGSPORT-BRISTOL, TN-VA
3660 20011001 008272 000000 JOHNSON CITY-KINGSPORT-BRISTOL, TN-VA
3660 20021001 008617 000000 JOHNSON CITY-KINGSPORT-BRISTOL, TN-VA
3660 20031001 008268 000000 JOHNSON CITY-KINGSPORT-BRISTOL, TN-VA
3660 20050101 008202 000000 JOHNSON CITY-KINGSPORT-BRISTOL, TN-VA
3680 20001001 008641 000000 JOHNSTOWN, PA
3680 20011001 008846 000000 JOHNSTOWN, PA
3680 20021001 008723 000000 JOHNSTOWN, PA
3680 20031001 008329 000000 JOHNSTOWN, PA
3680 20050101 007980 000000 JOHNSTOWN, PA
3700 20001001 007232 000000 JONESBORO, AR
3700 20011001 007832 000000 JONESBORO, AR
3700 20021001 008425 000000 JONESBORO, AR
3700 20031001 007749 000000 JONESBORO, AR
3700 20050101 008144 000000 JONESBORO, AR
3710 20001001 007679 000000 JOPLIN, MO
3710 20011001 008148 000000 JOPLIN, MO
3710 20021001 008727 000000 JOPLIN, MO
3710 20031001 008613 000000 JOPLIN, MO
3710 20050101 008721 000000 JOPLIN, MO
3720 20001001 009982 000000 KALAMAZOO-BATTLE CREEK, MI
3720 20011001 010453 000000 KALAMAZOO-BATTLE CREEK, MI
3720 20021001 010639 000000 KALAMAZOO-BATTLE CREEK, MI
3720 20031001 010595 000000 KALAMAZOO-BATTLE CREEK, MI
3720 20050101 010350 000000 KALAMAZOO-BATTLE CREEK, MI
3740 20001001 008599 000000 KANKAKEE, IL
3740 20011001 009902 000000 KANKAKEE, IL
3740 20021001 009889 000000 KANKAKEE, IL
3740 20031001 010790 000000 KANKAKEE, IL
3740 20050101 010603 000000 KANKAKEE, IL
3760 20001001 009322 000000 KANSAS CITY, MO-KS
3760 20011001 009527 000000 KANSAS CITY, MO-KS
3760 20021001 009536 000000 KANSAS CITY, MO-KS
3760 20031001 009736 000000 KANSAS CITY, MO-KS
3760 20050101 009641 000000 KANSAS CITY, MO-KS
3800 20001001 009034 000000 KENOSHA, WI
3800 20011001 009611 000000 KENOSHA, WI
3800 20021001 009568 000000 KENOSHA, WI
3800 20031001 009686 000000 KENOSHA, WI
3800 20050101 009772 000000 KENOSHA, WI
3810 20001001 009933 000000 KILLEEN-TEMPLE, TX
3810 20011001 010119 000000 KILLEEN-TEMPLE, TX
3810 20021001 009764 000000 KILLEEN-TEMPLE, TX
3810 20031001 010399 000000 KILLEEN-TEMPLE, TX
3810 20050101 009242 000000 KILLEEN-TEMPLE, TX
3840 20001001 009200 000000 KNOXVILLE, TN
3840 20011001 008340 000000 KNOXVILLE, TN
3840 20021001 008890 000000 KNOXVILLE, TN
3840 20031001 008970 000000 KNOXVILLE, TN
3840 20050101 008508 000000 KNOXVILLE, TN
3850 20001001 008919 000000 KOKOMO, IN
3850 20011001 009518 000000 KOKOMO, IN
3850 20021001 009126 000000 KOKOMO, IN
3850 20031001 008971 000000 KOKOMO, IN
3850 20050101 008986 000000 KOKOMO, IN
3870 20001001 008934 000000 LA CROSSE, WI-MN
3870 20011001 009211 000000 LA CROSSE, WI-MN
3870 20021001 009250 000000 LA CROSSE, WI-MN
3870 20031001 009400 000000 LA CROSSE, WI-MN
3870 20050101 009289 000000 LA CROSSE, WI-MN
3880 20001001 008340 000000 LAFAYETTE, LA
3880 20011001 008490 000000 LAFAYETTE, LA
3880 20021001 008544 000000 LAFAYETTE, LA
3880 20031001 008475 000000 LAFAYETTE, LA
3880 20050101 008105 000000 LAFAYETTE, LA
3920 20001001 008810 000000 LAFAYETTE, IN
3920 20011001 008834 000000 LAFAYETTE, IN
3920 20021001 009121 000000 LAFAYETTE, IN
3920 20031001 009278 000000 LAFAYETTE, IN
3920 20050101 009067 000000 LAFAYETTE, IN
3960 20001001 007967 000000 LAKE CHARLES, LA
3960 20011001 007399 000000 LAKE CHARLES, LA
3960 20021001 007765 000000 LAKE CHARLES, LA
3960 20031001 007965 000000 LAKE CHARLES, LA
3960 20050101 007972 000000 LAKE CHARLES, LA
3980 20001001 008816 000000 LAKELAND-WINTER HAVEN, FL
3980 20011001 009239 000000 LAKELAND-WINTER HAVEN, FL
3980 20021001 009067 000000 LAKELAND-WINTER HAVEN, FL
3980 20031001 009357 000000 LAKELAND-WINTER HAVEN, FL
3980 20050101 008930 000000 LAKELAND-WINTER HAVEN, FL
4000 20001001 009256 000000 LANCASTER, PA
4000 20011001 009259 000000 LANCASTER, PA
4000 20021001 009296 000000 LANCASTER, PA
4000 20031001 009078 000000 LANCASTER, PA
4000 20050101 009883 000000 LANCASTER, PA
4040 20001001 009978 000000 LANSING-EAST LANSING, MI
4040 20011001 009934 000000 LANSING-EAST LANSING, MI
4040 20021001 009653 000000 LANSING-EAST LANSING, MI
4040 20031001 009726 000000 LANSING-EAST LANSING, MI
4040 20050101 009658 000000 LANSING-EAST LANSING, MI
4080 20001001 008323 000000 LAREDO, TX
4080 20011001 008168 000000 LAREDO, TX
4080 20021001 007849 000000 LAREDO, TX
4080 20031001 008472 000000 LAREDO, TX
4080 20050101 008747 000000 LAREDO, TX
4100 20001001 008591 000000 LAS CRUCES, NM
4100 20011001 008658 000000 LAS CRUCES, NM
4100 20021001 008621 000000 LAS CRUCES, NM
4100 20031001 008745 000000 LAS CRUCES, NM
4100 20050101 008784 000000 LAS CRUCES, NM
4120 20001001 011259 000000 LAS VEGAS, NV-AZ
4120 20011001 010796 000000 LAS VEGAS, NV-AZ
4120 20021001 011182 000000 LAS VEGAS, NV-AZ
4120 20031001 011521 000000 LAS VEGAS, NV-AZ
4120 20050101 011121 000000 LAS VEGAS, NV-AZ
4150 20001001 008223 000000 LAWRENCE, KS
4150 20011001 008190 000000 LAWRENCE, KS
4150 20021001 007812 000000 LAWRENCE, KS
4150 20031001 007923 000000 LAWRENCE, KS
4150 20050101 008644 000000 LAWRENCE, KS
4200 20001001 009533 000000 LAWTON, OK
4200 20011001 008996 000000 LAWTON, OK
4200 20021001 008682 000000 LAWTON, OK
4200 20031001 008315 000000 LAWTON, OK
4200 20050101 008212 000000 LAWTON, OK
4243 20001001 008900 000000 LEWISTON-AUBURN, ME
4243 20011001 009036 000000 LEWISTON-AUBURN, ME
4243 20021001 009287 000000 LEWISTON-AUBURN, ME
4243 20031001 009179 000000 LEWISTON-AUBURN, ME
4243 20050101 009562 000000 LEWISTON-AUBURN, ME
4280 20001001 008532 000000 LEXINGTON, KY
4280 20011001 008866 000000 LEXINGTON, KY
4280 20021001 008791 000000 LEXINGTON, KY
4280 20031001 008581 000000 LEXINGTON, KY
4280 20050101 009219 000000 LEXINGTON, KY
4320 20001001 008906 000000 LIMA, OH
4320 20011001 009320 000000 LIMA, OH
4320 20021001 009470 000000 LIMA, OH
4320 20031001 009483 000000 LIMA, OH
4320 20050101 009258 000000 LIMA, OH
4360 20001001 009671 000000 LINCOLN, NE
4360 20011001 009626 000000 LINCOLN, NE
4360 20021001 010173 000000 LINCOLN, NE
4360 20031001 009892 000000 LINCOLN, NE
4360 20050101 010208 000000 LINCOLN, NE
4400 20001001 008615 000000 LITTLE ROCK-NORTH LITTLE ROCK, AR
4400 20011001 008906 000000 LITTLE ROCK-NORTH LITTLE ROCK, AR
4400 20021001 008955 000000 LITTLE ROCK-NORTH LITTLE ROCK, AR
4400 20031001 009097 000000 LITTLE ROCK-NORTH LITTLE ROCK, AR
4400 20050101 008826 000000 LITTLE ROCK-NORTH LITTLE ROCK, AR
4420 20001001 008739 000000 LONGVIEW-MARSHALL, TX
4420 20011001 008922 000000 LONGVIEW-MARSHALL, TX
4420 20021001 008571 000000 LONGVIEW-MARSHALL, TX
4420 20031001 008629 000000 LONGVIEW-MARSHALL, TX
4420 20050101 008739 000000 LONGVIEW-MARSHALL, TX
4480 20001001 012052 000000 LOS ANGELES-LONG BEACH, CA
4480 20011001 011996 000000 LOS ANGELES-LONG BEACH, CA
4480 20021001 011948 000000 LOS ANGELES-LONG BEACH, CA
4480 20031001 012001 000000 LOS ANGELES-LONG BEACH, CA
4480 20050101 011732 000000 LOS ANGELES-LONG BEACH, CA
4520 20001001 009382 000000 LOUISVILLE, KY-IN
4520 20011001 009350 000000 LOUISVILLE, KY-IN
4520 20021001 009529 000000 LOUISVILLE, KY-IN
4520 20031001 009276 000000 LOUISVILLE, KY-IN
4520 20050101 009162 000000 LOUISVILLE, KY-IN
4600 20001001 008412 000000 LUBBOCK, TX
4600 20011001 008838 000000 LUBBOCK, TX
4600 20021001 008449 000000 LUBBOCK, TX
4600 20031001 009646 000000 LUBBOCK, TX
4600 20050101 008777 000000 LUBBOCK, TX
4640 20001001 008815 000000 LYNCHBURG, VA
4640 20011001 008867 000000 LYNCHBURG, VA
4640 20021001 009103 000000 LYNCHBURG, VA
4640 20031001 009219 000000 LYNCHBURG, VA
4640 20050101 009017 000000 LYNCHBURG, VA
4680 20001001 008531 000000 MACON, GA
4680 20011001 008974 000000 MACON, GA
4680 20021001 008957 000000 MACON, GA
4680 20031001 009204 000000 MACON, GA
4680 20050101 009596 000000 MACON, GA
4720 20001001 009730 000000 MADISON, WI
4720 20011001 010271 000000 MADISON, WI
4720 20021001 010337 000000 MADISON, WI
4720 20031001 010467 000000 MADISON, WI
4720 20050101 010395 000000 MADISON, WI
4800 20001001 008476 000000 MANSFIELD, OH
4800 20011001 008690 000000 MANSFIELD, OH
4800 20021001 008708 000000 MANSFIELD, OH
4800 20031001 008900 000000 MANSFIELD, OH
4800 20050101 009105 000000 MANSFIELD, OH
4840 20001001 004675 000000 MAYAGUEZ, PR
4840 20011001 004589 000000 MAYAGUEZ, PR
4840 20021001 004860 000000 MAYAGUEZ, PR
4840 20031001 004914 000000 MAYAGUEZ, PR
4840 20050101 004769 000000 MAYAGUEZ, PR
4880 20001001 008121 000000 MCALLEN-EDINBURG-MISSION, TX
4880 20011001 008566 000000 MCALLEN-EDINBURG-MISSION, TX
4880 20021001 008378 000000 MCALLEN-EDINBURG-MISSION, TX
4880 20031001 008428 000000 MCALLEN-EDINBURG-MISSION, TX
4880 20050101 008602 000000 MCALLEN-EDINBURG-MISSION, TX
4890 20001001 010493 000000 MEDFORD-ASHLAND, OR
4890 20011001 010344 000000 MEDFORD-ASHLAND, OR
4890 20021001 010314 000000 MEDFORD-ASHLAND, OR
4890 20031001 010498 000000 MEDFORD-ASHLAND, OR
4890 20050101 010534 000000 MEDFORD-ASHLAND, OR
4900 20001001 009297 000000 MELBOURNE-TITUSVILLE-PALM BAY, FL
4900 20011001 009688 000000 MELBOURNE-TITUSVILLE-PALM BAY, FL
4900 20021001 009913 000000 MELBOURNE-TITUSVILLE-PALM BAY, FL
4900 20031001 010253 000000 MELBOURNE-TITUSVILLE-PALM BAY, FL
4900 20050101 009633 000000 MELBOURNE-TITUSVILLE-PALM BAY, FL
4920 20001001 008245 000000 MEMPHIS, TN-AR-MS
4920 20011001 008723 000000 MEMPHIS, TN-AR-MS
4920 20021001 008978 000000 MEMPHIS, TN-AR-MS
4920 20031001 008920 000000 MEMPHIS, TN-AR-MS
4920 20050101 009234 000000 MEMPHIS, TN-AR-MS
4940 20001001 010278 000000 MERCED, CA
4940 20011001 009646 000000 MERCED, CA
4940 20021001 009947 000000 MERCED, CA
4940 20031001 009837 000000 MERCED, CA
4940 20050101 010575 000000 MERCED, CA
5000 20001001 010234 000000 MIAMI, FL
5000 20011001 010059 000000 MIAMI, FL
5000 20021001 009950 000000 MIAMI, FL
5000 20031001 009802 000000 MIAMI, FL
5000 20050101 009870 000000 MIAMI, FL
5015 20001001 011123 000000 MIDDLESEX-SOMERSET-HUNTERDON, N
5015 20011001 011075 000000 MIDDLESEX-SOMERSET-HUNTERDON, N
5015 20021001 011469 000000 MIDDLESEX-SOMERSET-HUNTERDON, N
5015 20031001 011213 000000 MIDDLESEX-SOMERSET-HUNTERDON, N
5015 20050101 011360 000000 MIDDLESEX-SOMERSET-HUNTERDON, N
5080 20001001 009846 000000 MILWAUKEE-WAUKESHA, WI
5080 20011001 009767 000000 MILWAUKEE-WAUKESHA, WI
5080 20021001 009971 000000 MILWAUKEE-WAUKESHA, WI
5080 20031001 009893 000000 MILWAUKEE-WAUKESHA, WI
5080 20050101 010076 000000 MILWAUKEE-WAUKESHA, WI
5120 20001001 010930 000000 MINNEAPOLIS-ST. PAUL, MN-WI
5120 20011001 011017 000000 MINNEAPOLIS-ST. PAUL, MN-WI
5120 20021001 010930 000000 MINNEAPOLIS-ST. PAUL, MN-WI
5120 20031001 010903 000000 MINNEAPOLIS-ST. PAUL, MN-WI
5120 20050101 011066 000000 MINNEAPOLIS-ST. PAUL, MN-WI
5140 20001001 009086 000000 MISSOULA, MONTANA
5140 20011001 009274 000000 MISSOULA, MONTANA
5140 20021001 009364 000000 MISSOULA, MONTANA
5140 20031001 009157 000000 MISSOULA, MONTANA
5140 20050101 009618 000000 MISSOULA, MT
5160 20001001 008268 000000 MOBILE, AL
5160 20011001 008163 000000 MOBILE, AL
5160 20021001 008082 000000 MOBILE, AL
5160 20031001 008108 000000 MOBILE, AL
5160 20050101 007932 000000 MOBILE, AL
5170 20001001 010112 000000 MODESTO, CA
5170 20011001 010396 000000 MODESTO, CA
5170 20021001 010820 000000 MODESTO, CA
5170 20031001 010498 000000 MODESTO, CA
5170 20050101 011966 000000 MODESTO, CA
5190 20001001 011259 000000 MONMOUTH-OCEAN, NJ
5190 20011001 011278 000000 MONMOUTH-OCEAN, NJ
5190 20021001 010851 000000 MONMOUTH-OCEAN, NJ
5190 20031001 010674 000000 MONMOUTH-OCEAN, NJ
5190 20050101 010888 000000 MONMOUTH-OCEAN, NJ
5200 20001001 008222 000000 MONROE, LA
5200 20011001 008396 000000 MONROE, LA
5200 20021001 008201 000000 MONROE, LA
5200 20031001 008137 000000 MONROE, LA
5200 20050101 007913 000000 MONROE, LA
5240 20001001 007704 000000 MONTGOMERY, AL
5240 20011001 007653 000000 MONTGOMERY, AL
5240 20021001 007359 000000 MONTGOMERY, AL
5240 20031001 007734 000000 MONTGOMERY, AL
5240 20050101 008300 000000 MONTGOMERY, AL
5280 20001001 010835 000000 MUNCIE, IN
5280 20011001 010969 000000 MUNCIE, IN
5280 20021001 009939 000000 MUNCIE, IN
5280 20031001 009284 000000 MUNCIE, IN
5280 20050101 008580 000000 MUNCIE, IN
5330 20001001 008530 000000 MYRTLE BEACH, SC
5330 20011001 008440 000000 MYRTLE BEACH, SC
5330 20021001 008771 000000 MYRTLE BEACH, SC
5330 20031001 008976 000000 MYRTLE BEACH, SC
5330 20050101 009022 000000 MYRTLE BEACH, SC
5345 20001001 009840 000000 NAPLES, FL
5345 20011001 009661 000000 NAPLES, FL
5345 20021001 009699 000000 NAPLES, FL
5345 20031001 009754 000000 NAPLES, FL
5345 20050101 010558 000000 NAPLES, FL
5360 20001001 009450 000000 NASHVILLE, TN
5360 20011001 009490 000000 NASHVILLE, TN
5360 20021001 009754 000000 NASHVILLE, TN
5360 20031001 009578 000000 NASHVILLE, TN
5360 20050101 010108 000000 NASHVILLE, TN
5380 20001001 014076 000000 NASSAU-SUFFOLK, NY
5380 20011001 013932 000000 NASSAU-SUFFOLK, NY
5380 20021001 013643 000000 NASSAU-SUFFOLK, NY
5380 20031001 013357 000000 NASSAU-SUFFOLK, NY
5380 20050101 012907 000000 NASSAU-SUFFOLK, NY
5483 20001001 012357 000000 NEW HAVEN-BRIDGEPORT-STAMFORD-WATERBURY-DANB
